number,name,organ_smiles
422,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
423,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
424,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
425,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
426,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
427,MOF(808)Ce,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
428,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
429,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
430,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
431,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
432,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
433,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
434,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
435,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
436,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
437,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
438,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
439,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
440,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
441,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
442,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
443,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
444,MOF(808)Zr,['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]']
445,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
446,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
447,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
448,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
449,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
450,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
451,SUB(8)Zr,['NC1=CC=C(C([O-])=O)C=C1']
452,UiO(66)ZrNO2,['O=[N+](C1=C(C([O-])=O)C=CC(C([O-])=O)=C1)[O-]']
453,UiO(66)ZrNO2,['O=[N+](C1=C(C([O-])=O)C=CC(C([O-])=O)=C1)[O-]']
454,UiO(66)ZrNO2,['O=[N+](C1=C(C([O-])=O)C=CC(C([O-])=O)=C1)[O-]']
455,UiO(66)ZrNO2,['O=[N+](C1=C(C([O-])=O)C=CC(C([O-])=O)=C1)[O-]']
456,UiO(66)ZrNO2,['O=[N+](C1=C(C([O-])=O)C=CC(C([O-])=O)=C1)[O-]']
457,UiO(66)ZrNO2,['O=[N+](C1=C(C([O-])=O)C=CC(C([O-])=O)=C1)[O-]']
458,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
459,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
460,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
461,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
462,ZIF(8)ZnH2O,['Cc1[n-]ccn1']
