number,name,organ_smiles
212,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
213,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
214,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
215,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
216,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
217,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
218,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
219,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
220,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
221,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
222,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
223,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
224,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
225,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
226,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
227,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
228,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
229,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
230,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
231,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
232,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
233,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
234,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
235,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
236,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
237,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
238,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
239,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
240,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
241,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
242,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
243,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
244,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
245,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
246,UiO(66)ZrNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
247,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
248,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
249,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
250,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
251,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
252,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
253,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
254,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
255,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
256,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
257,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
258,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
259,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
260,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
261,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
