number,name,metal_smiles,organ_smiles,topo,GLD,PLD,LCD,q,VSA,GSA,VF,AV,Tem,pH,Dosage,Concentration,Capacity,Source,DOI
75,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,20,10.36258369,Literature,10.1016/j.jssc.2018.02.012
76,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,30,14.93031835,Literature,10.1016/j.jssc.2018.02.012
77,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,40,19.73843763,Literature,10.1016/j.jssc.2018.02.012
78,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,50,24.54741085,Literature,10.1016/j.jssc.2018.02.012
79,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,60,29.59634171,Literature,10.1016/j.jssc.2018.02.012
80,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,80,39.69463041,Literature,10.1016/j.jssc.2018.02.012
81,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,100,49.79334609,Literature,10.1016/j.jssc.2018.02.012
82,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,120,59.17261579,Literature,10.1016/j.jssc.2018.02.012
83,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,150,73.3685442,Literature,10.1016/j.jssc.2018.02.012
84,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,180,87.80272237,Literature,10.1016/j.jssc.2018.02.012
